                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82645,                 2.3765,                 1.2155,                0.75373,                0.56704,                0.60131,                 0.4836,                0.66826,                 1.2982,                 1.1321,              0.0033328,              0.0033328,              0.0033328
                      2,                0.81823,                 1.5943,                 1.1926,                0.78895,                0.59998,                0.65231,                 0.5174,                0.68491,                0.99439,                 1.1469,              0.0066397,              0.0066397,              0.0066397
                      3,                0.86807,                 1.4145,                 1.2194,                0.82092,                0.58382,                0.67943,                0.53521,                 0.7044,                0.91768,                 1.1708,              0.0099203,              0.0099203,              0.0099203
                      4,                 0.8706,                  1.283,                  1.221,                0.77089,                0.66857,                0.72265,                0.58056,                0.66507,                0.78432,                 1.1387,              0.0098812,              0.0098812,              0.0098812
                      5,                 0.8229,                 1.1415,                 1.1943,                0.75742,                0.70223,                 0.7671,                0.61862,                0.62543,                0.69674,                 1.1065,              0.0098812,              0.0098812,              0.0098812
                      6,                0.78853,                 1.0546,                 1.1688,                0.82446,                0.70181,                0.78961,                0.64197,                0.60967,                 0.6662,                 1.0864,              0.0098416,              0.0098416,              0.0098416
                      7,                0.76542,                0.98825,                 1.1587,                0.81443,                 0.7658,                0.82331,                0.67884,                0.58155,                0.59143,                 1.0674,               0.009802,               0.009802,               0.009802
                      8,                0.74984,                0.94837,                 1.1475,                0.86545,                0.75883,                 0.8298,                0.68673,                0.56703,                0.58065,                 1.0571,              0.0097624,              0.0097624,              0.0097624
                      9,                0.73869,                0.91841,                 1.1406,                0.87443,                0.76537,                0.83609,                0.69157,                0.56375,                0.57014,                 1.0545,              0.0097228,              0.0097228,              0.0097228
                     10,                0.72528,                0.88681,                 1.1341,                0.88037,                 0.7725,                0.85059,                0.71611,                0.55259,                0.53141,                 1.0443,              0.0096832,              0.0096832,              0.0096832
                     11,                0.71947,                 0.8693,                 1.1272,                0.85538,                0.79215,                0.85803,                0.71965,                0.53919,                0.51976,                 1.0343,              0.0096436,              0.0096436,              0.0096436
                     12,                0.71305,                0.85497,                 1.1288,                0.89983,                0.80837,                0.87058,                 0.7317,                0.53398,                0.50266,                 1.0303,               0.009604,               0.009604,               0.009604
                     13,                0.70536,                0.82883,                  1.122,                0.87842,                0.80545,                0.87215,                0.73377,                 0.5302,                0.49182,                 1.0288,              0.0095644,              0.0095644,              0.0095644
                     14,                0.70553,                0.82088,                 1.1233,                0.88928,                0.80828,                0.87804,                 0.7421,                0.52217,                0.48338,                 1.0196,              0.0095248,              0.0095248,              0.0095248
                     15,                0.69959,                0.80625,                 1.1186,                 0.8799,                 0.8279,                0.88933,                0.74937,                0.51897,                0.46347,                 1.0163,              0.0094852,              0.0094852,              0.0094852
                     16,                0.69259,                0.79395,                 1.1151,                0.90785,                 0.8131,                0.89451,                0.75481,                0.51535,                0.46427,                 1.0139,              0.0094456,              0.0094456,              0.0094456
                     17,                0.69045,                0.78235,                 1.1129,                0.89851,                0.81849,                0.89087,                0.75822,                0.50763,                0.45657,                 1.0069,               0.009406,               0.009406,               0.009406
                     18,                0.68501,                0.77228,                 1.1089,                0.88855,                 0.8175,                0.89189,                 0.7631,                0.50671,                0.45022,                 1.0026,              0.0093664,              0.0093664,              0.0093664
                     19,                0.68107,                0.76384,                 1.1066,                 0.9161,                0.81748,                0.89574,                0.76966,                 0.4957,                0.44126,                0.99932,              0.0093268,              0.0093268,              0.0093268
                     20,                0.67814,                0.75507,                 1.1055,                0.90893,                 0.8279,                0.90484,                0.77713,                 0.4983,                0.43447,                  1.003,              0.0092872,              0.0092872,              0.0092872
                     21,                0.67583,                0.74657,                 1.1049,                0.89313,                0.84502,                0.90696,                0.77359,                0.50071,                0.43176,                 1.0038,              0.0092476,              0.0092476,              0.0092476
                     22,                0.67336,                0.73818,                 1.1017,                0.90629,                0.82847,                0.90773,                0.77904,                0.49513,                0.43011,                0.99895,               0.009208,               0.009208,               0.009208
                     23,                0.66812,                0.74185,                 1.1015,                 0.8982,                 0.8319,                0.90887,                0.77964,                0.49477,                0.42639,                0.99752,              0.0091684,              0.0091684,              0.0091684
                     24,                 0.6708,                0.73224,                 1.1017,                0.92835,                0.83036,                0.91018,                0.78275,                0.49074,                0.42182,                0.99476,              0.0091288,              0.0091288,              0.0091288
                     25,                0.66708,                0.72618,                 1.0973,                0.90762,                0.83742,                0.91013,                0.77919,                0.49077,                0.41685,                0.99382,              0.0090892,              0.0090892,              0.0090892
                     26,                0.66501,                0.72582,                 1.0993,                0.91139,                 0.8324,                0.91219,                0.78248,                0.48929,                0.41041,                0.99312,              0.0090496,              0.0090496,              0.0090496
                     27,                0.66165,                0.71485,                 1.0941,                0.90198,                0.84894,                0.91545,                0.78445,                0.48929,                0.41107,                0.99248,                0.00901,                0.00901,                0.00901
                     28,                0.65849,                0.70744,                 1.0941,                0.92152,                  0.836,                0.91474,                0.78334,                0.48649,                0.40587,                0.99085,              0.0089704,              0.0089704,              0.0089704
                     29,                0.65916,                0.70662,                 1.0939,                0.90709,                0.84658,                0.91608,                0.78827,                0.48373,                0.40188,                0.98906,              0.0089308,              0.0089308,              0.0089308
                     30,                0.66104,                0.70235,                 1.0945,                0.90639,                0.85163,                0.91792,                0.78875,                0.48148,                0.39974,                0.98751,              0.0088912,              0.0088912,              0.0088912
                     31,                 0.6558,                 0.6959,                 1.0929,                 0.9079,                0.85078,                0.91813,                0.78913,                0.48141,                0.39646,                0.98785,              0.0088516,              0.0088516,              0.0088516
                     32,                0.65573,                0.69348,                 1.0931,                0.91148,                0.85009,                0.91923,                0.79086,                0.48044,                0.39514,                0.98737,               0.008812,               0.008812,               0.008812
                     33,                0.65256,                0.68986,                 1.0909,                0.91195,                0.85232,                 0.9192,                0.79112,                0.47916,                0.39365,                 0.9855,              0.0087724,              0.0087724,              0.0087724
                     34,                0.64953,                 0.6825,                 1.0885,                0.91131,                0.85519,                0.91901,                0.79161,                0.47847,                0.39368,                0.98534,              0.0087328,              0.0087328,              0.0087328
                     35,                0.65262,                0.68257,                 1.0902,                0.91198,                0.85491,                0.91936,                0.79128,                0.47763,                0.39249,                0.98448,              0.0086932,              0.0086932,              0.0086932
                     36,                0.64915,                0.68266,                 1.0877,                0.90967,                 0.8502,                0.91905,                0.79123,                0.47724,                0.39181,                0.98414,              0.0086536,              0.0086536,              0.0086536
                     37,                0.64831,                0.67377,                 1.0855,                0.90876,                0.85545,                 0.9207,                0.79323,                0.47635,                0.39093,                0.98354,               0.008614,               0.008614,               0.008614
                     38,                0.64362,                0.66925,                 1.0842,                0.90799,                0.85606,                0.92119,                0.79581,                0.47585,                0.39004,                0.98322,              0.0085744,              0.0085744,              0.0085744
                     39,                0.63996,                 0.6665,                  1.082,                0.91067,                0.85355,                0.92175,                0.79287,                0.47528,                0.38913,                0.98318,              0.0085348,              0.0085348,              0.0085348
                     40,                0.63789,                0.65968,                 1.0829,                0.90812,                0.85736,                0.92216,                0.79297,                0.47452,                0.38786,                0.98272,              0.0084952,              0.0084952,              0.0084952
                     41,                0.64117,                  0.668,                 1.0832,                0.90422,                0.86115,                 0.9226,                0.79494,                0.47431,                0.38723,                0.98299,              0.0084556,              0.0084556,              0.0084556
                     42,                0.64032,                0.65909,                 1.0838,                0.90185,                0.86192,                0.92303,                 0.7957,                0.47357,                0.38604,                0.98247,               0.008416,               0.008416,               0.008416
                     43,                0.64004,                0.65667,                 1.0827,                0.90233,                0.86236,                0.92338,                0.79694,                0.47339,                0.38541,                0.98246,              0.0083764,              0.0083764,              0.0083764
                     44,                0.63828,                0.65687,                 1.0812,                0.89544,                0.86826,                0.92303,                0.79739,                0.47327,                0.38518,                0.98217,              0.0083368,              0.0083368,              0.0083368
                     45,                0.63473,                0.64964,                  1.081,                0.89623,                0.86831,                0.92313,                0.79918,                0.47327,                0.38417,                0.98205,              0.0082972,              0.0082972,              0.0082972
                     46,                0.63791,                0.65186,                 1.0802,                0.89574,                0.86956,                0.92433,                0.80044,                0.47307,                0.38322,                0.98202,              0.0082576,              0.0082576,              0.0082576
                     47,                0.63589,                0.64986,                 1.0794,                 0.8961,                0.87097,                  0.924,                0.79984,                0.47231,                0.38315,                0.98125,               0.008218,               0.008218,               0.008218
                     48,                0.63067,                 0.6458,                 1.0778,                0.89549,                0.87037,                 0.9239,                0.79973,                0.47221,                0.38206,                0.98116,              0.0081784,              0.0081784,              0.0081784
                     49,                0.63488,                0.64386,                 1.0801,                0.90787,                0.87137,                 0.9251,                0.80114,                0.47193,                0.38125,                  0.981,              0.0081388,              0.0081388,              0.0081388
                     50,                0.63298,                0.64465,                 1.0769,                0.90509,                0.87325,                0.92523,                0.80282,                0.47207,                0.37994,                0.98131,              0.0080992,              0.0080992,              0.0080992
                     51,                0.63456,                0.64504,                 1.0812,                0.89915,                0.87422,                0.92582,                0.80467,                0.47174,                0.37899,                0.98094,              0.0080596,              0.0080596,              0.0080596
                     52,                0.63076,                0.63621,                 1.0767,                0.90672,                0.86834,                0.92653,                0.80508,                0.47139,                  0.378,                0.98053,                0.00802,                0.00802,                0.00802
                     53,                0.63156,                0.63971,                 1.0793,                0.91359,                0.86655,                0.92697,                0.80373,                0.47106,                0.37758,                0.97999,              0.0079804,              0.0079804,              0.0079804
                     54,                0.62951,                0.63819,                 1.0773,                0.91446,                0.86607,                0.92701,                0.80422,                0.47096,                0.37733,                0.97985,              0.0079408,              0.0079408,              0.0079408
                     55,                0.63163,                0.63408,                 1.0781,                 0.9188,                0.86437,                0.92677,                0.80461,                0.47097,                0.37742,                0.97972,              0.0079012,              0.0079012,              0.0079012
                     56,                0.63132,                0.63307,                 1.0773,                0.91752,                0.86606,                0.92738,                0.80427,                0.47046,                0.37708,                0.97935,              0.0078616,              0.0078616,              0.0078616
                     57,                0.62922,                0.62913,                 1.0778,                0.91834,                0.86602,                  0.928,                0.80498,                0.47037,                0.37667,                0.97921,               0.007822,               0.007822,               0.007822
                     58,                0.62914,                0.63351,                 1.0752,                0.91796,                0.86601,                0.92812,                0.80488,                0.47013,                 0.3766,                 0.9789,              0.0077824,              0.0077824,              0.0077824
                     59,                0.62419,                  0.624,                 1.0737,                0.91785,                0.86698,                0.92803,                 0.8051,                0.46992,                0.37631,                0.97889,              0.0077428,              0.0077428,              0.0077428
                     60,                0.62623,                0.62707,                 1.0752,                0.91937,                0.86591,                0.92775,                0.80523,                0.46998,                0.37613,                0.97888,              0.0077032,              0.0077032,              0.0077032
                     61,                0.62206,                 0.6208,                 1.0748,                0.92014,                0.86492,                0.92828,                 0.8051,                 0.4697,                0.37547,                0.97877,              0.0076636,              0.0076636,              0.0076636
                     62,                0.62645,                0.62524,                 1.0735,                0.91894,                0.86535,                0.92785,                 0.8059,                0.46952,                0.37481,                0.97843,               0.007624,               0.007624,               0.007624
                     63,                0.62238,                0.61875,                 1.0744,                 0.9183,                0.86755,                0.92782,                0.80605,                0.46939,                0.37402,                0.97824,              0.0075844,              0.0075844,              0.0075844
                     64,                0.62566,                0.62536,                 1.0737,                 0.9204,                0.86666,                0.92825,                0.80638,                0.46937,                 0.3736,                 0.9782,              0.0075448,              0.0075448,              0.0075448
                     65,                0.62035,                0.61665,                 1.0718,                0.91986,                0.86638,                0.92827,                0.80614,                0.46919,                0.37288,                0.97805,              0.0075052,              0.0075052,              0.0075052
                     66,                0.62236,                0.61569,                 1.0731,                 0.9227,                0.86675,                0.92809,                0.80528,                0.46902,                0.37215,                0.97797,              0.0074656,              0.0074656,              0.0074656
                     67,                0.62052,                0.61972,                 1.0726,                0.92365,                0.86654,                0.92813,                0.80517,                0.46872,                0.37183,                0.97771,               0.007426,               0.007426,               0.007426
                     68,                0.62265,                0.61732,                  1.072,                0.92308,                0.86813,                0.92845,                0.80567,                0.46871,                0.37205,                0.97758,              0.0073864,              0.0073864,              0.0073864
